>>>>>>>>>(0,-388,b5a5,7546233296933674423)
>>>>>>>>(2,388,a8b7,5135629786981977272)
>>>>>>>(0,-388,c4b5,6753139735601637302)
>>>>>>>>>(3,-299,b3c4,4597563479101426475)
>>>>>>>>>(3,-177,b3a3,1428544063608626018)
>>>>>>>>>(3,-195,b3c3,7203525835488536821)
>>>>>>>>>(3,-275,b3a2,431806845731334182)
>>>>>>>>>(3,-275,b3b2,3315158022771225747)
>>>>>>>>>(3,-195,b3c2,4085602892610927430)
>>>>>>>>(0,299,a8b8,3363233174302555408)
>>>>>>>(2,-299,c4b3,5430756994407517106)
>>>>>>>(3,-275,c4c3,799493516740691804)
>>>>>>>>>(3,-299,d3c4,4597563479101426475)
>>>>>>>>>(3,-195,d3c3,7203525835488536821)
>>>>>>>>>>(1,287,b8a8,1392973747307241460)
>>>>>>>>>(2,-287,d3e3,8549415699260205398)
>>>>>>>>>(3,-195,d3c2,4085602892610927430)
>>>>>>>>>(3,-288,d3d2,2219260843053932321)
>>>>>>>>>>(1,262,b8a8,6902182219069502401)
>>>>>>>>>(2,-262,d3e2,4195116653389514083)
>>>>>>>>(0,299,a8b8,7777620151450954315)
>>>>>>>(2,-299,c4d3,1017494828257860841)
>>>>>>(0,388,b8a8,9056975321763309293)
>>>>>>>>(3,388,c8b8,4055085441343312148)
>>>>>>>>>>(1,388,d8c8,7440258612503656836)
>>>>>>>>>>(1,388,d8e8,2797597985089962717)
>>>>>>>>>>(1,388,d8c7,4859083886115996271)
>>>>>>>>>>(1,386,d8d7,6186547672603547851)
>>>>>>>>>>(1,365,d8e7,2076128494963743649)
>>>>>>>>>(0,-365,b5a5,8494145103143826571)
>>>>>>>>>>(1,365,d8c8,5311857843685641884)
>>>>>>>>>(2,-365,b5a6,6563955425636615059)
>>>>>>>>>>(1,365,d8c8,2406997739884617068)
>>>>>>>>>(2,-365,b5b6,3730959127467085923)
>>>>>>>>>>(1,365,d8c8,1610143681114721991)
>>>>>>>>>(2,-365,b5c6,358098961505846216)
>>>>>>>>>(3,-177,b5c4,8798515307472610527)
>>>>>>>>(0,365,c8d8,6493545046784075140)
>>>>>>>>(3,388,c8b7,5135629786981977272)
>>>>>>>>>>(1,365,c7b8,1921700459433384208)
>>>>>>>>>>(1,365,c7c8,7440258612503656836)
>>>>>>>>>>(1,365,c7d8,8714599468077739392)
>>>>>>>>>>(1,365,c7b7,7325283805451961532)
>>>>>>>>>>(1,365,c7d7,6186547672603547851)
>>>>>>>>>(0,-365,b5a5,5656475984167361380)
>>>>>>>>(2,365,c8c7,7026497052102085227)
>>>>>>>>>>(1,365,d7c8,7440258612503656836)
>>>>>>>>>>(1,365,d7d8,8714599468077739392)
>>>>>>>>>>(1,365,d7e8,2797597985089962717)
>>>>>>>>>>(1,365,d7c7,4859083886115996271)
>>>>>>>>>>(1,365,d7e7,2076128494963743649)
>>>>>>>>>(0,-365,b5a5,6397980820046070208)
>>>>>>>>(2,365,c8d7,8590271657201291471)
>>>>>>>(0,-365,c4b5,5241606051536513163)
>>>>>>>(3,-177,c4b3,8780763976961597419)
>>>>>>>>(3,288,c8b8,7991964541132124670)
>>>>>>>(2,-288,c4c3,2166877106968840289)
>>>>>>>>>(3,-299,d3c4,4597563479101426475)
>>>>>>>>>(3,-195,d3c3,7203525835488536821)
>>>>>>>>>(3,-287,d3e3,8549415699260205398)
>>>>>>>>>(3,-195,d3c2,4085602892610927430)
>>>>>>>>>(3,-288,d3d2,2219260843053932321)
>>>>>>>>>(3,-262,d3e2,4195116653389514083)
>>>>>>>>(0,299,c8b8,7777620151450954315)
>>>>>>>(2,-299,c4d3,1951406667125494740)
>>>>>>(0,365,b8c8,7546558737216776656)
>>>>>>>>>>(1,365,a8b8,1921700459433384208)
>>>>>>>>>>(1,365,a8a7,8771596987798376012)
>>>>>>>>>>(1,365,a8b7,7325283805451961532)
>>>>>>>>>(0,-365,b5a5,9176706653788532658)
>>>>>>>>(2,365,a7a8,5811544796674293437)
>>>>>>>>(3,388,a7b8,4055085441343312148)
>>>>>>>>(3,388,a7b7,5135629786981977272)
>>>>>>>(0,-365,c4b5,6216673773124771651)
>>>>>>(2,365,b8a7,8521127176104631832)
>>>>>>>>(3,365,b7a8,5811544796674293437)
>>>>>>>>(3,388,b7b8,4055085441343312148)
>>>>>>>>>>(1,365,c8b8,1921700459433384208)
>>>>>>>>>>(1,365,c8d8,8714599468077739392)
>>>>>>>>>>(1,365,c8b7,7325283805451961532)
>>>>>>>>>>(1,365,c8c7,4859083886115996271)
>>>>>>>>>>(1,365,c8d7,6186547672603547851)
>>>>>>>>>(0,-365,b5a5,7660660578297585807)
>>>>>>>>(2,365,b7c8,5020621958757822848)
>>>>>>>>(3,388,b7a7,6581788921733105224)
>>>>>>>>(3,365,b7c7,7026497052102085227)
>>>>>>>(0,-365,c4b5,5356000312575382963)
>>>>>>(2,365,b8b7,7661601766753817832)
>>>>>>>>(3,388,c7b8,4055085441343312148)
>>>>>>>>(3,365,c7c8,5020621958757822848)
>>>>>>>>(3,365,c7d8,6493545046784075140)
>>>>>>>>(3,388,c7b7,5135629786981977272)
>>>>>>>>(3,365,c7d7,8590271657201291471)
>>>>>>>(0,-365,c4b5,7823342078691758944)
>>>>>>(2,365,b8c7,5518378445412487739)
>>>>>(0,-365,b3c4,1747855596483399759)
>>>>>(3,-177,b3a3,1428544063608626018)
>>>>>>>(3,-288,c3c4,8116030706384666598)
>>>>>>>(3,-299,c3b3,5430756994407517106)
>>>>>>>(3,-299,c3d3,1017494828257860841)
